1x,Tormod's Crypt,Magic 2013,2012-07-13,False,True
1x,Tree of Tales,Mirrodin,2003-10-03,False,True
1x,"Ugin, the Spirit Dragon",Fate Reforged,2015-01-23,True,True
1x,Unbreakable Formation,Ravnica Allegiance,2019-01-25,False,True
1x,Universal Automaton,Modern Horizons,2019-06-14,False,True
1x,Unwinding Clock,Commander 2018,2018-08-10,False,True
1x,Urza's Incubator,Commander 2015,2015-11-13,False,True
1x,Urza's Mine,Double Masters,2020-08-07,False,True
1x,Urza's Power Plant,Double Masters,2020-08-07,False,True
1x,Urza's Tower,Double Masters,2020-08-07,False,True
1x,Vault of Whispers,Mirrodin,2003-10-03,False,True
1x,Verdant Catacombs,Zendikar,2009-10-02,False,True
1x,Vital Splicer,New Phyrexia,2011-05-13,False,True
1x,Welding Jar,Mirrodin,2003-10-03,False,True
1x,Winds of Abandon,Modern Horizons,2019-06-14,False,True
1x,Woodland Chasm,Kaldheim,2021-01-29,False,True
